name,pokedex_number,type,weakness,height,weight,ability,genders,hp,attack,defense,special_attack,special_defense,speed
Wartortle,#0008,Water,"['Grass', 'Electric']","3' 03""",49.6 lbs,Torrent,"['male', 'female']",4,4,5,4,5,4
Passimian,#0766,Fighting,"['Psychic', 'Flying', 'Fairy']","6' 07""",182.5 lbs,Receiver,"['male', 'female']",6,8,6,3,4,5
Garbodor,#0569,Poison,"['Psychic', 'Ground']","6' 03""",236.6 lbs,"['Stench', 'Weak Armor']","['male', 'female']",5,6,5,4,5,5
Bellsprout,#0069,"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","2' 04""",8.8 lbs,Chlorophyll,"['male', 'female']",3,5,3,5,2,3
Sylveon,#0700,Fairy,"['Steel', 'Poison']","3' 03""",51.8 lbs,Cute Charm,"['male', 'female']",6,4,4,7,8,4
Amoonguss,#0591,"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","2' 00""",23.1 lbs,Effect Spore,"['male', 'female']",7,5,5,5,5,2
Corvisquire,#0822,Flying,"['Electric', 'Ice', 'Rock']","2' 07""",35.3 lbs,"['Keen Eye', 'Unnerve']","['male', 'female']",4,4,4,3,4,5
Shiinotic,#0756,"['Grass', 'Fairy']","['Steel', 'Fire', 'Flying', 'Ice', 'Poison']","3' 03""",25.4 lbs,"['Effect Spore', 'Illuminate']","['male', 'female']",4,3,5,6,6,2
Chimecho,#0358,Psychic,"['Ghost', 'Dark', 'Bug']","2' 00""",2.2 lbs,Levitate,"['male', 'female']",5,3,5,6,6,4
Unfezant,#0521,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","3' 11""",63.9 lbs,"['Super Luck', 'Big Pecks']",male,5,7,5,4,4,6
Tadbulb,#0938,Electric,Ground,"1' 00""",0.9 lbs,"['Static', 'Own Tempo']","['male', 'female']",4,2,3,4,3,3
Toedscruel,#0949,"['Ground', 'Grass']","['Fire', 'Flying', 'Bug', 'Ice']","6' 03""",127.9 lbs,Mycelium Might,"['male', 'female']",5,5,4,5,8,6
Smoochum,#0238,"['Ice', 'Psychic']","['Steel', 'Ghost', 'Fire', 'Dark', 'Rock', 'Bug']","1' 04""",13.2 lbs,"['Oblivious', 'Forewarn']",female,3,2,1,5,4,4
Lurantis,#0754,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","2' 11""",40.8 lbs,Leaf Guard,"['male', 'female']",5,7,6,5,6,3
Snorunt,#0361,Ice,"['Fire', 'Steel', 'Fighting', 'Rock']","2' 04""",37.0 lbs,"['Inner Focus', 'Ice Body']","['male', 'female']",3,3,3,3,3,3
Bergmite,#0712,Ice,"['Fire', 'Steel', 'Fighting', 'Rock']","3' 03""",219.4 lbs,"['Own Tempo', 'Ice Body']","['male', 'female']",4,5,5,2,3,2
Manaphy,#0490,Water,"['Grass', 'Electric']","1' 00""",3.1 lbs,Hydration,Unknown,6,6,6,6,6,6
Misdreavus,#0200,Ghost,"['Ghost', 'Dark']","2' 04""",2.2 lbs,Levitate,"['male', 'female']",4,4,4,5,5,5
Sceptile,#0254,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","5' 07""",115.1 lbs,Overgrow,"['male', 'female']",5,5,4,7,5,8
Slaking,#0289,Normal,Fighting,"6' 07""",287.7 lbs,Truant,"['male', 'female']",9,"['1', '0']",6,6,4,6
Buizel,#0418,Water,"['Grass', 'Electric']","2' 04""",65.0 lbs,Swift Swim,"['male', 'female']",4,4,3,4,2,5
Dunsparce,#0206,Normal,Fighting,"4' 11""",30.9 lbs,"['Run Away', 'Serene Grace']","['male', 'female']",6,5,5,4,4,3
Cottonee,#0546,"['Grass', 'Fairy']","['Steel', 'Fire', 'Flying', 'Ice', 'Poison']","1' 00""",1.3 lbs,"['Prankster', 'Infiltrator']","['male', 'female']",3,2,4,3,3,4
Indeedee,#0876,"['Psychic', 'Normal']","['Dark', 'Bug']","2' 11""",61.7 lbs,"['Inner Focus', 'Synchronize']",male,4,4,4,7,6,6
Shroomish,#0285,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 04""",9.9 lbs,"['Effect Spore', 'Poison Heal']","['male', 'female']",4,3,4,3,4,3
Basculegion,#0902,"['Water', 'Ghost']","['Ghost', 'Dark', 'Grass', 'Electric']","9' 10""",242.5 lbs,,male,8,7,4,5,5,5
Morpeko,#0877,"['Electric', 'Dark']","['Fairy', 'Bug', 'Fighting', 'Ground']","1' 00""",6.6 lbs,Hunger Switch,"['male', 'female']",4,6,4,5,4,6
Swinub,#0220,"['Ice', 'Ground']","['Steel', 'Fire', 'Grass', 'Water', 'Fighting']","1' 04""",14.3 lbs,"['Oblivious', 'Snow Cloak']","['male', 'female']",3,3,3,2,2,3
Bounsweet,#0761,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 00""",7.1 lbs,"['Oblivious', 'Leaf Guard']",female,3,2,3,2,3,2
Orbeetle,#0826,"['Bug', 'Psychic']","['Ghost', 'Fire', 'Flying', 'Dark', 'Rock', 'Bug']","1' 04""",89.9 lbs,"['Swarm', 'Frisk']","['male', 'female']",4,3,7,8,6,5
Wishiwashi,#0746,Water,"['Grass', 'Electric']","0' 08""",0.7 lbs,Schooling,"['male', 'female']",3,2,2,2,2,3
Venonat,#0048,"['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","3' 03""",66.1 lbs,"['Compound Eyes', 'Tinted Lens']","['male', 'female']",4,4,3,3,4,3
Serperior,#0497,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","10' 10""",138.9 lbs,Overgrow,"['male', 'female']",5,5,6,5,6,7
Snom,#0872,"['Ice', 'Bug']","['Fire', 'Steel', 'Flying', 'Rock']","1' 00""",8.4 lbs,Shield Dust,"['male', 'female']",2,2,3,3,2,2
Floragato,#0907,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","2' 11""",26.9 lbs,Overgrow,"['male', 'female']",4,5,4,4,4,5
Exeggcute,#0102,"['Grass', 'Psychic']","['Ghost', 'Fire', 'Flying', 'Ice', 'Dark', 'Poison', 'Bug']","1' 04""",5.5 lbs,Chlorophyll,"['male', 'female']",4,3,5,4,3,3
Mienfoo,#0619,Fighting,"['Psychic', 'Flying', 'Fairy']","2' 11""",44.1 lbs,"['Inner Focus', 'Regenerator']","['male', 'female']",3,5,3,4,3,4
Meltan,#0808,Steel,"['Fire', 'Fighting', 'Ground']","0' 08""",17.6 lbs,Magnet Pull,Unknown,3,4,4,4,3,2
Durant,#0632,"['Bug', 'Steel']",Fire,"1' 00""",72.8 lbs,"['Swarm', 'Hustle']","['male', 'female']",4,7,7,3,3,7
Toedscool,#0948,"['Ground', 'Grass']","['Fire', 'Flying', 'Bug', 'Ice']","2' 11""",72.8 lbs,Mycelium Might,"['male', 'female']",3,3,3,3,6,5
Calyrex,#0898,"['Psychic', 'Grass']","['Ghost', 'Fire', 'Flying', 'Ice', 'Dark', 'Poison', 'Bug']","3' 07""",17.0 lbs,Unnerve,Unknown,6,5,5,5,5,5
Finizen,#0963,Water,"['Grass', 'Electric']","4' 03""",132.7 lbs,Water Veil,"['male', 'female']",5,3,3,3,3,5
Chimchar,#0390,Fire,"['Water', 'Ground', 'Rock']","1' 08""",13.7 lbs,Blaze,"['male', 'female']",3,4,3,4,3,4
Avalugg,#0713,Ice,"['Fire', 'Steel', 'Fighting', 'Rock']","6' 07""",1113.3 lbs,"['Own Tempo', 'Ice Body']","['male', 'female']",6,7,"['1', '1']",3,3,2
Clefable,#0036,Fairy,"['Steel', 'Poison']","4' 03""",88.2 lbs,"['Cute Charm', 'Magic Guard']","['male', 'female']",6,5,5,6,6,4
Gorebyss,#0368,Water,"['Grass', 'Electric']","5' 11""",49.8 lbs,Swift Swim,"['male', 'female']",4,5,7,7,5,4
Simisage,#0512,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","3' 07""",67.2 lbs,Gluttony,"['male', 'female']",5,6,4,6,4,6
Golbat,#0042,"['Poison', 'Flying']","['Psychic', 'Electric', 'Ice', 'Rock']","5' 03""",121.3 lbs,Inner Focus,"['male', 'female']",5,5,5,4,5,6
Blitzle,#0522,Electric,Ground,"2' 07""",65.7 lbs,"['Lightning Rod', 'Motor Drive']","['male', 'female']",3,4,2,3,2,5
Cubone,#0104,Ground,"['Water', 'Grass', 'Ice']","1' 04""",14.3 lbs,"['Rock Head', 'Lightning Rod']","['male', 'female']",3,3,6,3,3,3
Clauncher,#0692,Water,"['Grass', 'Electric']","1' 08""",18.3 lbs,Mega Launcher,"['male', 'female']",3,4,4,4,4,3
Chi-Yu,#1004,"['Dark', 'Fire']","['Water', 'Ground', 'Fighting', 'Rock']","1' 04""",10.8 lbs,Beads of Ruin,Unknown,4,5,5,8,8,6
Psyduck,#0054,Water,"['Grass', 'Electric']","2' 07""",43.2 lbs,"['Damp', 'Cloud Nine']","['male', 'female']",3,4,3,4,3,4
Escavalier,#0589,"['Bug', 'Steel']",Fire,"3' 03""",72.8 lbs,"['Swarm', 'Shell Armor']","['male', 'female']",5,8,7,4,7,2
Raichu,#0026,Electric,Ground,"2' 07""",66.1 lbs,Static,"['male', 'female']",4,6,4,6,5,7
Rufflet,#0627,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","1' 08""",23.1 lbs,"['Keen Eye', 'Sheer Force']",male,5,5,3,3,3,4
Dubwool,#0832,Normal,Fighting,"4' 03""",94.8 lbs,"['Steadfast', 'Fluffy']","['male', 'female']",5,5,6,4,6,6
Dewgong,#0087,"['Water', 'Ice']","['Grass', 'Electric', 'Fighting', 'Rock']","5' 07""",264.6 lbs,"['Thick Fat', 'Hydration']","['male', 'female']",6,5,5,5,6,5
Emboar,#0500,"['Fire', 'Fighting']","['Water', 'Psychic', 'Flying', 'Ground']","5' 03""",330.7 lbs,Blaze,"['male', 'female']",7,8,4,6,4,4
Delcatty,#0301,Normal,Fighting,"3' 07""",71.9 lbs,"['Cute Charm', 'Normalize']","['male', 'female']",5,4,4,4,4,6
Pawmot,#0923,"['Electric', 'Fighting']","['Psychic', 'Fairy', 'Ground']","2' 11""",90.4 lbs,"['Natural Cure', 'Volt Absorb']","['male', 'female']",5,7,5,5,4,7
Greavard,#0971,Ghost,"['Ghost', 'Dark']","2' 00""",77.2 lbs,Pickup,"['male', 'female']",3,4,4,2,4,2
Trubbish,#0568,Poison,"['Psychic', 'Ground']","2' 00""",68.3 lbs,"['Stench', 'Sticky Hold']","['male', 'female']",3,3,4,3,4,4
Charjabug,#0737,"['Bug', 'Electric']","['Fire', 'Rock']","1' 08""",23.1 lbs,Battery,"['male', 'female']",4,5,6,4,5,3
Clodsire,#0980,"['Poison', 'Ground']","['Water', 'Psychic', 'Ice', 'Ground']","5' 11""",491.6 lbs,"['Poison Point', 'Water Absorb']","['male', 'female']",8,5,4,3,6,2
Armarouge,#0936,"['Fire', 'Psychic']","['Ghost', 'Dark', 'Ground', 'Water', 'Rock']","4' 11""",187.4 lbs,Flash Fire,"['male', 'female']",5,4,6,8,5,5
Larvitar,#0246,"['Rock', 'Ground']","['Steel', 'Fighting', 'Water', 'Ice', 'Grass', 'Ground']","2' 00""",158.7 lbs,Guts,"['male', 'female']",3,4,3,3,3,3
Overqwil,#0904,"['Dark', 'Poison']",Ground,"8' 02""",133.4 lbs,,"['male', 'female']",5,7,6,4,4,5
Turtwig,#0387,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 04""",22.5 lbs,Overgrow,"['male', 'female']",4,4,4,3,4,2
Omastar,#0139,"['Rock', 'Water']","['Grass', 'Electric', 'Fighting', 'Ground']","3' 03""",77.2 lbs,"['Shell Armor', 'Swift Swim']","['male', 'female']",5,4,8,7,5,4
Growlithe,#0058,Fire,"['Water', 'Ground', 'Rock']","2' 04""",41.9 lbs,"['Intimidate', 'Flash Fire']","['male', 'female']",4,5,3,5,3,4
Munchlax,#0446,Normal,Fighting,"2' 00""",231.5 lbs,"['Pickup', 'Thick Fat']","['male', 'female']",8,5,3,3,5,1
Seviper,#0336,Poison,"['Psychic', 'Ground']","8' 10""",115.7 lbs,Shed Skin,"['male', 'female']",5,6,4,6,4,4
Pangoro,#0675,"['Fighting', 'Dark']","['Fairy', 'Flying', 'Fighting']","6' 11""",299.8 lbs,"['Iron Fist', 'Mold Breaker']","['male', 'female']",6,8,5,5,5,4
Sunkern,#0191,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 00""",4.0 lbs,"['Chlorophyll', 'Solar Power']","['male', 'female']",2,2,2,2,2,2
Staryu,#0120,Water,"['Grass', 'Electric']","2' 07""",76.1 lbs,"['Natural Cure', 'Illuminate']",Unknown,2,3,4,5,4,5
Mantyke,#0458,"['Water', 'Flying']","['Electric', 'Rock']","3' 03""",143.3 lbs,"['Water Absorb', 'Swift Swim']","['male', 'female']",3,2,3,4,8,3
Eelektrik,#0603,Electric,Ground,"3' 11""",48.5 lbs,Levitate,"['male', 'female']",4,5,5,5,5,3
Houndstone,#0972,Ghost,"['Ghost', 'Dark']","6' 07""",33.1 lbs,Sand Rush,"['male', 'female']",5,6,6,3,6,4
Togetic,#0176,"['Fairy', 'Flying']","['Steel', 'Poison', 'Electric', 'Ice', 'Rock']","2' 00""",7.1 lbs,"['Serene Grace', 'Hustle']","['male', 'female']",4,3,5,5,7,3
Dhelmise,#0781,"['Ghost', 'Grass']","['Ghost', 'Fire', 'Flying', 'Dark', 'Ice']","12' 10""",463.0 lbs,Steelworker,Unknown,5,8,6,6,6,3
Barbaracle,#0689,"['Rock', 'Water']","['Grass', 'Electric', 'Fighting', 'Ground']","4' 03""",211.6 lbs,"['Sniper', 'Tough Claws']","['male', 'female']",5,7,7,4,6,4
Kakuna,#0014,"['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","2' 00""",22.0 lbs,Shed Skin,"['male', 'female']",3,2,3,2,2,3
Grovyle,#0253,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","2' 11""",47.6 lbs,Overgrow,"['male', 'female']",3,4,3,5,4,6
Shelmet,#0616,Bug,"['Fire', 'Flying', 'Rock']","1' 04""",17.0 lbs,"['Hydration', 'Shell Armor']","['male', 'female']",3,3,5,3,4,2
Furfrou,#0676,Normal,Fighting,"3' 11""",61.7 lbs,Fur Coat,"['male', 'female']",5,5,4,4,6,6
Ting-Lu,#1003,"['Dark', 'Ground']","['Fighting', 'Water', 'Ice', 'Fairy', 'Grass', 'Bug']","8' 10""",1542.6 lbs,Vessel of Ruin,Unknown,"['1', '0']",7,8,4,5,3
Pignite,#0499,"['Fire', 'Fighting']","['Water', 'Psychic', 'Flying', 'Ground']","3' 03""",122.4 lbs,Blaze,"['male', 'female']",6,6,4,5,4,4
Deerling,#0585,"['Normal', 'Grass']","['Fire', 'Flying', 'Fighting', 'Ice', 'Poison', 'Bug']","2' 00""",43.0 lbs,"['Chlorophyll', 'Sap Sipper']","['male', 'female']",4,4,3,3,3,5
Snivy,#0495,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","2' 00""",17.9 lbs,Overgrow,"['male', 'female']",3,3,4,3,4,4
Weezing,#0110,Poison,"['Psychic', 'Ground']","3' 11""",20.9 lbs,"['Levitate', 'Neutralizing Gas']","['male', 'female']",4,6,8,5,5,4
Vigoroth,#0288,Normal,Fighting,"4' 07""",102.5 lbs,Vital Spirit,"['male', 'female']",5,5,5,4,4,6
Machoke,#0067,Fighting,"['Psychic', 'Flying', 'Fairy']","4' 11""",155.4 lbs,"['Guts', 'No Guard']","['male', 'female']",5,6,5,3,4,3
Rhydon,#0112,"['Ground', 'Rock']","['Steel', 'Ice', 'Water', 'Fighting', 'Grass', 'Ground']","6' 03""",264.6 lbs,"['Rock Head', 'Lightning Rod']","['male', 'female']",7,8,8,3,3,3
Caterpie,#0010,Bug,"['Fire', 'Flying', 'Rock']","1' 00""",6.4 lbs,Shield Dust,"['male', 'female']",3,2,3,2,2,3
Garchomp,#0445,"['Dragon', 'Ground']","['Fairy', 'Ice', 'Dragon']","6' 03""",209.4 lbs,Sand Veil,"['male', 'female']",7,8,6,5,5,6
Alcremie,#0869,Fairy,"['Steel', 'Poison']","1' 00""",1.1 lbs,Sweet Veil,female,4,4,5,8,4,7
Solrock,#0338,"['Rock', 'Psychic']","['Steel', 'Ghost', 'Water', 'Dark', 'Grass', 'Bug', 'Ground']","3' 11""",339.5 lbs,Levitate,Unknown,6,6,5,4,4,5
Spinda,#0327,Normal,Fighting,"3' 07""",11.0 lbs,"['Tangled Feet', 'Own Tempo']","['male', 'female']",4,4,4,4,4,4
Cranidos,#0408,Rock,"['Water', 'Steel', 'Grass', 'Fighting', 'Ground']","2' 11""",69.4 lbs,Mold Breaker,"['male', 'female']",4,8,3,2,2,4
Gothitelle,#0576,Psychic,"['Ghost', 'Dark', 'Bug']","4' 11""",97.0 lbs,"['Frisk', 'Competitive']","['male', 'female']",5,4,6,6,7,4
Excadrill,#0530,"['Ground', 'Steel']","['Fire', 'Water', 'Fighting', 'Ground']","2' 04""",89.1 lbs,"['Sand Rush', 'Sand Force']","['male', 'female']",7,8,4,3,4,6
Jirachi,#0385,"['Steel', 'Psychic']","['Ghost', 'Fire', 'Dark', 'Ground']","1' 00""",2.4 lbs,Serene Grace,Unknown,6,6,6,6,6,6
Flutter Mane,#0987,"['Ghost', 'Fairy']","['Ghost', 'Steel']","4' 07""",8.8 lbs,Protosynthesis,Unknown,4,4,4,8,8,8
Milotic,#0350,Water,"['Grass', 'Electric']","20' 04""",357.1 lbs,"['Marvel Scale', 'Competitive']","['male', 'female']",6,4,5,6,8,5
Aromatisse,#0683,Fairy,"['Steel', 'Poison']","2' 07""",34.2 lbs,Healer,"['male', 'female']",6,5,5,6,6,2
Monferno,#0391,"['Fire', 'Fighting']","['Water', 'Psychic', 'Flying', 'Ground']","2' 11""",48.5 lbs,Blaze,"['male', 'female']",4,5,4,5,4,5
Mudsdale,#0750,Ground,"['Water', 'Grass', 'Ice']","8' 02""",2028.3 lbs,"['Own Tempo', 'Stamina']","['male', 'female']",6,8,6,4,5,3
Zacian,#0888,Fairy,"['Steel', 'Poison']","9' 02""",242.5 lbs,Intrepid Sword,Unknown,6,8,7,7,9,5
Kyogre,#0382,Water,"['Grass', 'Electric']","14' 09""",776.0 lbs,Drizzle,Unknown,6,6,6,9,9,6
Audino,#0531,Normal,Fighting,"3' 07""",68.3 lbs,"['Healer', 'Regenerator']","['male', 'female']",7,4,6,4,6,3
Tandemaus,#0924,Normal,Fighting,"1' 00""",4.0 lbs,"['Run Away', 'Pickup']",Unknown,3,3,3,3,3,5
Surskit,#0283,"['Bug', 'Water']","['Flying', 'Electric', 'Rock']","1' 08""",3.7 lbs,Swift Swim,"['male', 'female']",3,2,2,3,4,4
Kricketot,#0401,Bug,"['Fire', 'Flying', 'Rock']","1' 00""",4.9 lbs,Shed Skin,"['male', 'female']",3,2,3,2,3,2
Quilladin,#0651,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","2' 04""",63.9 lbs,Overgrow,"['male', 'female']",4,5,6,4,4,4
Urshifu,#0892,"['Fighting', 'Dark']","['Fairy', 'Flying', 'Fighting']","6' 03""",231.5 lbs,Unseen Fist,"['male', 'female']",6,8,6,4,4,6
Drifloon,#0425,"['Ghost', 'Flying']","['Ghost', 'Dark', 'Electric', 'Ice', 'Rock']","1' 04""",2.6 lbs,"['Aftermath', 'Unburden']","['male', 'female']",6,3,2,4,3,5
Pichu,#0172,Electric,Ground,"1' 00""",4.4 lbs,Static,"['male', 'female']",2,3,1,3,3,4
Tynamo,#0602,Electric,Ground,"0' 08""",0.7 lbs,Levitate,"['male', 'female']",3,4,3,3,3,4
Marshtomp,#0259,"['Water', 'Ground']",Grass,"2' 04""",61.7 lbs,Torrent,"['male', 'female']",5,5,5,4,5,3
Kadabra,#0064,Psychic,"['Ghost', 'Dark', 'Bug']","4' 03""",124.6 lbs,"['Inner Focus', 'Synchronize']","['male', 'female']",3,3,2,8,5,7
Herdier,#0507,Normal,Fighting,"2' 11""",32.4 lbs,"['Intimidate', 'Sand Rush']","['male', 'female']",4,5,4,3,4,4
Slowking,#0199,"['Water', 'Psychic']","['Ghost', 'Dark', 'Grass', 'Electric', 'Bug']","6' 07""",175.3 lbs,"['Oblivious', 'Own Tempo']","['male', 'female']",6,5,5,6,7,2
Wynaut,#0360,Psychic,"['Ghost', 'Dark', 'Bug']","2' 00""",30.9 lbs,Shadow Tag,"['male', 'female']",6,2,3,2,3,2
Litwick,#0607,"['Ghost', 'Fire']","['Ghost', 'Dark', 'Ground', 'Water', 'Rock']","1' 00""",6.8 lbs,"['Flash Fire', 'Flame Body']","['male', 'female']",3,2,4,4,4,2
Ursaring,#0217,Normal,Fighting,"5' 11""",277.3 lbs,"['Guts', 'Quick Feet']","['male', 'female']",6,8,5,5,5,4
Bunnelby,#0659,Normal,Fighting,"1' 04""",11.0 lbs,"['Pickup', 'Cheek Pouch']","['male', 'female']",3,3,3,2,3,4
Hakamo-o,#0783,"['Dragon', 'Fighting']","['Fairy', 'Flying', 'Psychic', 'Ice', 'Dragon']","3' 11""",103.6 lbs,"['Soundproof', 'Bulletproof']","['male', 'female']",4,5,6,4,5,4
Mantine,#0226,"['Water', 'Flying']","['Electric', 'Rock']","6' 11""",485.0 lbs,"['Water Absorb', 'Swift Swim']","['male', 'female']",5,3,5,5,9,5
Kirlia,#0281,"['Psychic', 'Fairy']","['Ghost', 'Steel', 'Poison']","2' 07""",44.5 lbs,"['Synchronize', 'Trace']","['male', 'female']",3,3,3,4,4,3
Luxio,#0404,Electric,Ground,"2' 11""",67.2 lbs,"['Intimidate', 'Rivalry']","['male', 'female']",4,5,3,4,3,4
Vullaby,#0629,"['Dark', 'Flying']","['Fairy', 'Electric', 'Ice', 'Rock']","1' 08""",19.8 lbs,"['Big Pecks', 'Overcoat']",female,5,4,5,3,4,4
Impidimp,#0859,"['Dark', 'Fairy']","['Steel', 'Fairy', 'Poison']","1' 04""",12.1 lbs,"['Frisk', 'Prankster']",male,3,3,2,4,3,3
Hattrem,#0857,Psychic,"['Ghost', 'Dark', 'Bug']","2' 00""",10.6 lbs,"['Anticipation', 'Healer']",female,4,3,4,6,5,3
Goldeen,#0118,Water,"['Grass', 'Electric']","2' 00""",33.1 lbs,"['Swift Swim', 'Water Veil']","['male', 'female']",3,4,4,3,3,4
Grotle,#0388,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","3' 07""",213.8 lbs,Overgrow,"['male', 'female']",5,6,5,4,4,3
Rattata,#0019,Normal,Fighting,"1' 00""",7.7 lbs,"['Run Away', 'Guts']","['male', 'female']",2,4,3,2,3,5
Lampent,#0608,"['Ghost', 'Fire']","['Ghost', 'Dark', 'Ground', 'Water', 'Rock']","2' 00""",28.7 lbs,"['Flash Fire', 'Flame Body']","['male', 'female']",4,3,4,6,4,4
Gothorita,#0575,Psychic,"['Ghost', 'Dark', 'Bug']","2' 04""",39.7 lbs,"['Frisk', 'Competitive']","['male', 'female']",4,3,5,5,5,4
Riolu,#0447,Fighting,"['Psychic', 'Flying', 'Fairy']","2' 04""",44.5 lbs,"['Inner Focus', 'Steadfast']","['male', 'female']",3,5,3,3,3,4
Simisear,#0514,Fire,"['Water', 'Ground', 'Rock']","3' 03""",61.7 lbs,Gluttony,"['male', 'female']",5,6,4,6,4,6
Elgyem,#0605,Psychic,"['Ghost', 'Dark', 'Bug']","1' 08""",19.8 lbs,"['Synchronize', 'Telepathy']","['male', 'female']",4,4,4,5,4,2
Fearow,#0022,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","3' 11""",83.8 lbs,Keen Eye,"['male', 'female']",4,6,4,4,4,6
Golett,#0622,"['Ground', 'Ghost']","['Water', 'Ghost', 'Grass', 'Dark', 'Ice']","3' 03""",202.8 lbs,"['Iron Fist', 'Klutz']",Unknown,4,5,3,3,3,3
Pyukumuku,#0771,Water,"['Grass', 'Electric']","1' 00""",2.6 lbs,Innards Out,"['male', 'female']",4,4,8,2,8,1
Solgaleo,#0791,"['Psychic', 'Steel']","['Ghost', 'Fire', 'Dark', 'Ground']","11' 02""",507.1 lbs,Full Metal Body,Unknown,9,9,7,7,6,6
Croagunk,#0453,"['Poison', 'Fighting']","['Psychic', 'Flying', 'Ground']","2' 04""",50.7 lbs,"['Dry Skin', 'Anticipation']","['male', 'female']",3,4,3,4,3,3
Petilil,#0548,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 08""",14.6 lbs,"['Chlorophyll', 'Own Tempo']",female,3,3,3,5,3,2
Whismur,#0293,Normal,Fighting,"2' 00""",35.9 lbs,Soundproof,"['male', 'female']",4,3,2,3,2,2
Venusaur,#0003,"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","6' 07""",220.5 lbs,Overgrow,"['male', 'female']",5,5,5,6,6,5
Lilligant,#0549,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","3' 07""",35.9 lbs,"['Chlorophyll', 'Own Tempo']",female,5,4,5,7,5,6
Golurk,#0623,"['Ground', 'Ghost']","['Water', 'Ghost', 'Grass', 'Dark', 'Ice']","9' 02""",727.5 lbs,"['Iron Fist', 'Klutz']",Unknown,6,8,5,4,5,4
Darmanitan,#0555,Fire,"['Water', 'Ground', 'Rock']","4' 03""",204.8 lbs,Sheer Force,"['male', 'female']",7,9,4,2,4,6
Bellossom,#0182,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 04""",12.8 lbs,Chlorophyll,"['male', 'female']",5,5,6,6,6,3
Shedinja,#0292,"['Bug', 'Ghost']","['Fire', 'Ghost', 'Flying', 'Dark', 'Rock']","2' 07""",2.6 lbs,Wonder Guard,Unknown,1,6,3,2,2,3
Wattrel,#0940,"['Electric', 'Flying']","['Ice', 'Rock']","1' 04""",7.9 lbs,"['Volt Absorb', 'Wind Power']","['male', 'female']",3,3,3,4,3,5
Murkrow,#0198,"['Dark', 'Flying']","['Fairy', 'Electric', 'Ice', 'Rock']","1' 08""",4.6 lbs,"['Insomnia', 'Super Luck']","['male', 'female']",4,5,3,5,3,6
Sizzlipede,#0850,"['Fire', 'Bug']","['Water', 'Flying', 'Rock']","2' 04""",2.2 lbs,"['Flash Fire', 'White Smoke']","['male', 'female']",3,4,3,3,3,3
Carbink,#0703,"['Rock', 'Fairy']","['Steel', 'Water', 'Grass', 'Ground']","1' 00""",12.6 lbs,Clear Body,Unknown,3,3,9,3,9,3
Frigibax,#0996,"['Dragon', 'Ice']","['Steel', 'Fairy', 'Rock', 'Fighting', 'Dragon']","1' 08""",37.5 lbs,Thermal Exchange,"['male', 'female']",4,5,3,3,3,4
Woobat,#0527,"['Psychic', 'Flying']","['Ghost', 'Dark', 'Electric', 'Ice', 'Rock']","1' 04""",4.6 lbs,"['Unaware', 'Klutz']","['male', 'female']",4,3,3,4,3,5
Nidorina,#0030,Poison,"['Psychic', 'Ground']","2' 07""",44.1 lbs,"['Poison Point', 'Rivalry']",female,5,4,4,4,4,4
Barraskewda,#0847,Water,"['Grass', 'Electric']","4' 03""",66.1 lbs,Swift Swim,"['male', 'female']",4,8,4,4,3,8
Cascoon,#0268,Bug,"['Fire', 'Flying', 'Rock']","2' 04""",25.4 lbs,Shed Skin,"['male', 'female']",3,3,4,2,2,1
Togedemaru,#0777,"['Electric', 'Steel']","['Fire', 'Fighting', 'Ground']","1' 00""",7.3 lbs,"['Lightning Rod', 'Iron Barbs']","['male', 'female']",4,6,4,3,5,6
Porygon-Z,#0474,Normal,Fighting,"2' 11""",75.0 lbs,"['Adaptability', 'Download']",Unknown,5,5,5,8,5,6
